GALR1
ONECUT1
HTR2C
POU4F1
RGS1
SLC1A6
TLL1
DLK1
HAND1
NCR2
MMRN1
CPAMD8
CLIC6
HPSE2
C12orf39
CLNK
GPR151
CBLN2
C5orf38
ANKRD34B
CHRM2
C22orf42
CHRM4
ENO3
GLTPD2
APLNR
SDCBP2
MUC3B
CRNDE
TCF7L2
CYLC1
VSTM2B
A_24_P8130
TTLL6
OPRM1
IRX2
C10orf105
C4A
A_24_P666340
A_24_P128308
A_24_P910952
A_32_P3431
LOC780529
A_32_P113462
